title,image_url,link_url,link_type,platform_name
propagate,http://www.asahi-net.or.jp/~cs8k-cyu/img/propagate.jpg,http://wa.zozuar.org/code.php?c=9gkBH,detail,flash
commandmissile,http://www.asahi-net.or.jp/~cs8k-cyu/img/commandmissile.jpg,http://wa.zozuar.org/code.php?c=kqI2,detail,flash
beanball,http://www.asahi-net.or.jp/~cs8k-cyu/img/beanball.jpg,http://wa.zozuar.org/code.php?c=mgKj,detail,flash
CircleCycle,http://www.asahi-net.or.jp/~cs8k-cyu/img/circle_cycle.jpg,http://wa.zozuar.org/code.php?c=8MLE,detail,flash
ufast,http://www.asahi-net.or.jp/~cs8k-cyu/img/ufast.jpg,http://wa.zozuar.org/code.php?c=8Ylg,detail,flash
THRUST CAVE,http://www.asahi-net.or.jp/~cs8k-cyu/img/thrust_cave.jpg,http://wa.zozuar.org/code.php?c=9q2p,detail,flash
ULTRA SUPER REFLECTION GUIDE,http://www.asahi-net.or.jp/~cs8k-cyu/img/ultra_super_reflection_guide.jpg,http://wa.zozuar.org/code.php?c=lV2v,detail,flash
ON PIKE,undefined,http://wa.zozuar.org/code.php?c=9paU,detail,flash
FLY LIGHT,http://www.asahi-net.or.jp/~cs8k-cyu/img/fly_light.jpg,http://wa.zozuar.org/code.php?c=uaIq,detail,flash
SPLASH BUBBLE,http://www.asahi-net.or.jp/~cs8k-cyu/img/splash_bubble.jpg,http://wa.zozuar.org/code.php?c=9Vho,detail,flash
DEADLY BALLS BOUNCE,http://www.asahi-net.or.jp/~cs8k-cyu/img/deadly_balls_bounce.jpg,http://wa.zozuar.org/code.php?c=umZP,detail,flash
PUMP CIRCLE,http://www.asahi-net.or.jp/~cs8k-cyu/img/pump_circle.jpg,http://wa.zozuar.org/code.php?c=wFDl,detail,flash
CLOCK JUMP,http://www.asahi-net.or.jp/~cs8k-cyu/img/clock_jump.jpg,http://wa.zozuar.org/code.php?c=xFyZ,detail,flash
EXPAND BOXES,http://www.asahi-net.or.jp/~cs8k-cyu/img/expand_boxes.jpg,http://wa.zozuar.org/code.php?c=cimM,detail,flash
timebomb,http://www.asahi-net.or.jp/~cs8k-cyu/img/timebomb.jpg,http://wa.zozuar.org/code.php?c=tuh0C,detail,flash
